,OD_work
20210122,7.5733164
20210123,5.5872198
20210124,5.0110866
20210125,7.5428442
20210126,7.5002652
20210127,7.5238632
20210128,7.5289932
20210129,7.3024866
20210130,5.3164584
20210131,5.2554456
20210201,8.110872
20210202,7.998867
20210203,7.9456518
20210204,7.8326208
20210205,7.648146
20210206,5.391288
20210207,6.8301504
20210208,6.8330916
20210209,6.4246752
20210210,5.8238496
20210211,3.6961992
20210212,2.8396602
20210213,2.7546732
20210214,2.9223558
20210215,3.1571388
20210216,3.3051906
20210217,3.6316296
20210218,5.8655736
20210219,6.7844592
20210220,6.7933854
20210221,5.4514116
20210222,7.9876836
20210223,7.9170606
20210224,7.9287228
20210225,7.9666164
20210226,7.5312162
20210227,5.4391338
20210228,5.488758
20210301,8.2944918
20210302,8.16183
20210303,8.0594352
20210304,8.1554688
20210305,7.8669234
20210306,5.826996
20210307,5.153769
20210308,7.8042348
20210309,7.8746868
20210310,7.788195
20210311,7.7774562
20210312,7.5356964
20210313,5.3889966
20210314,4.892994
20210315,7.8226344
20210316,7.6659642
20210317,7.6552596
20210318,7.6091238
20210319,7.4052576
20210320,5.2892352
20210321,5.004486
20220112,7.1049474
20220113,7.0521768
20220114,6.870438
20220115,5.2013412
20220116,4.6163502
20220117,6.930459
20220118,6.8287824
20220119,6.7451976
20220120,6.6613734
20220121,6.4791558
20220122,4.8810924
20220123,4.4004798
20220124,6.4960848
20220125,6.2610966
20220126,6.0729624
20220127,5.8848282
20220128,5.525865
20220129,4.9268178
20220130,4.323051
20220131,3.3849792
20220201,2.8326834
20220202,2.6396586
20220203,2.9053926
20220204,2.8489626
20220205,2.8512882
20220206,3.110661
20220207,5.2590708
20220208,5.9861286
20220209,6.196014
20220210,6.4638684
20220211,6.3926298
20220212,4.8918312
20220213,4.7098188
20220214,6.8024484
20220215,6.6102102
20220216,6.8593572
20220217,6.9370938
20220218,6.7070988
20220219,5.142141
20220220,4.8272616
20220221,7.1085726
20220223,6.7340484
20220224,6.6695472
20220225,6.439347
20220226,4.6497978
20220227,4.3048224
20220228,0.0
20220301,0.0
20220302,6.9632226
20220303,6.9563826
20220304,6.7248828
20220305,5.0019552
20220306,4.5897426
20220307,7.0143174
20220308,6.6172896
20220309,6.8916762
20220310,6.881382
20220311,6.7772772
20230101,4.420521
20230102,5.8897872
20230103,7.8213006
20230104,7.7251986
20230105,7.6288572
20230106,7.4630214
20230107,5.7868452
20230108,5.2062318
20230109,7.6058064
20230110,7.4149704
20230111,7.3209888
20230112,7.20252
20230113,6.9660954
20230114,5.1191244
20230115,4.758246
20230116,6.5174598
20230117,6.2725878
20230118,5.824944
20230119,5.2461432
20230120,4.617
20230121,3.5846046
20230122,2.8333332
20230123,2.7935244
20230124,2.9440728
20230125,2.9709882
20230126,3.0252978
20230127,3.3239664
20230128,4.9267494
20230129,5.8010724
20230130,6.3525132
20230131,6.849234
20230201,7.1384634
20230202,7.153443
20230203,7.0155486
20230204,5.3046936
20230205,4.6479852
20230206,7.4215026
20230207,7.2234504
20230208,7.1401734
20230209,7.0760826
20230210,6.874884
20230211,4.9367358
20230212,4.4652888
20230213,7.1685594
20230214,6.8876748
20230215,6.9260472
20230216,6.8448564
20230217,6.6136986
20230218,4.7500038
20230219,4.293981
20230220,6.9171894
20230221,6.7399308
20230222,6.7236858
20230223,6.6350052
20230224,6.4027188
20230225,4.6731564
20230226,4.3000686
20230227,6.6938292
20230228,0.0
