,OD_entertainment
20210122,3.1059072
20210123,4.017303
20210124,4.143159
20210125,3.0339504
20210126,3.0698262
20210127,3.0732462
20210128,3.082275
20210129,3.3157584
20210130,4.1801976
20210131,4.1294448
20210201,2.9456118
20210202,3.0182184
20210203,3.085353
20210204,3.1335066
20210205,3.281832
20210206,4.0496562
20210207,3.5809452
20210208,3.509433
20210209,3.4902468
20210210,3.5125794
20210211,4.20831
20210212,6.3653724
20210213,5.7808602
20210214,6.276897
20210215,5.8439592
20210216,5.621967
20210217,5.1680304
20210218,4.0590954
20210219,3.6305352
20210220,3.6212328
20210221,4.0608054
20210222,2.9609334
20210223,2.979504
20210224,2.9958174
20210225,2.9491686
20210226,3.123315
20210227,4.0865238
20210228,4.2291378
20210301,2.8884978
20210302,2.9590866
20210303,2.989935
20210304,2.9034432
20210305,3.0948948
20210306,3.9647718
20210307,4.4038314
20210308,3.250368
20210309,3.0851478
20210310,3.1491702
20210311,3.183849
20210312,3.3249582
20210313,4.440528
20210314,4.6058166
20210315,3.0625416
20210316,3.1445874
20210317,3.1514274
20210318,3.212919
20210319,3.3420582
20210320,4.446513
20210321,4.2678864
20220112,3.250539
20220113,3.2892192
20220114,3.423249
20220115,4.1806764
20220116,4.403421
20220117,3.2988978
20220118,3.3720174
20220119,3.4538238
20220120,3.5219844
20220121,3.6906246
20220122,4.3394328
20220123,4.4100558
20220124,3.5158284
20220125,3.6652482
20220126,3.7570068
20220127,3.818601
20220128,3.9162078
20220129,4.0484592
20220130,4.2593706
20220131,4.2399792
20220201,5.3612604
20220202,5.0584536
20220203,5.2212114
20220204,5.7949506
20220205,5.6796966
20220206,5.172921
20220207,3.8311524
20220208,3.6892908
20220209,3.5431542
20220210,3.4826202
20220211,3.63888
20220212,4.3066692
20220213,4.0483566
20220214,3.5146656
20220215,3.4729074
20220216,3.2793696
20220217,3.1386708
20220218,3.2887062
20220219,3.7778004
20220220,3.9209958
20220221,3.0228012
20220223,3.2990004
20220224,3.3353208
20220225,3.5259858
20220226,4.516965
20220227,4.667445
20220228,5.8559634
20220301,5.8896162
20220302,3.3472908
20220303,3.3947604
20220304,3.5476002
20220305,4.507218
20220306,4.6967202
20220307,3.3231114
20220308,3.6988326
20220309,3.3724278
20220310,3.362715
20220311,3.4173324
20230101,4.5282852
20230102,3.509946
20230103,2.7203706
20230104,2.7840168
20230105,2.870406
20230106,3.0108996
20230107,3.7251666
20230108,3.7182924
20230109,2.8123686
20230110,2.9335734
20230111,2.9937996
20230112,3.0810096
20230113,3.2717088
20230114,3.989088
20230115,3.9433284
20230116,3.3368256
20230117,3.453687
20230118,3.6938052
20230119,3.984129
20230120,4.18266
20230121,4.3878942
20230122,6.2540856
20230123,5.564511
20230124,5.9584266
20230125,5.7605112
20230126,5.6214198
20230127,5.0064354
20230128,4.3348158
20230129,3.9522546
20230130,3.673764
20230131,3.4540974
20230201,3.339801
20230202,3.30885
20230203,3.391614
20230204,3.9443544
20230205,3.9736638
20230206,2.9775888
20230207,3.1129866
20230208,3.1967424
20230209,3.2278644
20230210,3.3554646
20230211,4.3549596
20230212,4.4662806
20230213,3.0816594
20230214,3.383235
20230215,3.3101154
20230216,3.364083
20230217,3.5065944
20230218,4.5269856
20230219,4.5832104
20230220,3.2309424
20230221,3.3316956
20230222,3.3528996
20230223,3.409569
20230224,3.5299872
20230225,4.4557128
20230226,4.5178542
20230227,3.2797458
20230228,6.0160194
