,city_name,province_name,迁徙指数
0,东莞市,广东省,310.81366008000003
1,惠州市,广东省,155.40683004000002
2,广州市,广东省,117.54023076
3,佛山市,广东省,32.38843644
4,中山市,广东省,19.894380839999997
5,珠海市,广东省,15.56951544
6,汕尾市,广东省,15.56951544
7,河源市,广东省,12.39794748
8,上海市,上海市,8.93805516
9,江门市,广东省,8.93805516
10,北京市,北京市,8.745838919999999
11,梅州市,广东省,8.745838919999999
12,揭阳市,广东省,8.6497308
13,汕头市,广东省,8.55362268
14,长沙市,湖南省,8.45751456
15,茂名市,广东省,6.823676519999999
16,武汉市,湖北省,6.2470278
17,清远市,广东省,5.574270959999999
18,肇庆市,广东省,5.4781628399999995
19,赣州市,江西省,5.2859466
20,厦门市,福建省,5.0937303599999995
21,湛江市,广东省,4.99762224
22,韶关市,广东省,4.90151412
23,杭州市,浙江省,4.4209735199999995
24,重庆市,重庆市,4.4209735199999995
25,南宁市,广西壮族自治区,4.4209735199999995
26,成都市,四川省,4.0365410399999995
27,吉安市,江西省,3.5560004399999996
28,南昌市,江西省,2.8832435999999997
29,云浮市,广东省,2.7871354799999994
30,玉林市,广西壮族自治区,2.7871354799999994
31,潮州市,广东省,2.7871354799999994
32,阳江市,广东省,2.69102736
33,衡阳市,湖南省,2.69102736
34,郑州市,河南省,2.59491924
35,郴州市,湖南省,2.59491924
36,桂林市,广西壮族自治区,2.59491924
37,南京市,江苏省,2.3065948799999996
38,泉州市,福建省,2.2104867599999998
39,邵阳市,湖南省,2.0182705199999997
40,福州市,福建省,2.0182705199999997
41,苏州市,江苏省,1.9221624
42,合肥市,安徽省,1.82605428
43,永州市,湖南省,1.82605428
44,西安市,陕西省,1.82605428
45,海口市,海南省,1.82605428
46,昆明市,云南省,1.5377299199999999
47,漳州市,福建省,1.5377299199999999
48,天津市,天津市,1.5377299199999999
49,贵阳市,贵州省,1.5377299199999999
50,株洲市,湖南省,1.34551368
51,梧州市,广西壮族自治区,1.34551368
52,岳阳市,湖南省,1.34551368
53,宁波市,浙江省,1.34551368
54,怀化市,湖南省,1.24940556
55,柳州市,广西壮族自治区,1.24940556
56,温州市,浙江省,1.24940556
57,青岛市,山东省,1.24940556
58,三亚市,海南省,1.1532974399999998
59,济南市,山东省,1.05718932
60,南阳市,河南省,1.05718932
61,贵港市,广西壮族自治区,1.05718932
62,宜春市,江西省,1.05718932
63,常德市,湖南省,1.05718932
64,九江市,江西省,0.9610812
65,黄冈市,湖北省,0.9610812
66,上饶市,江西省,0.9610812
67,荆州市,湖北省,0.86497308
68,北海市,广西壮族自治区,0.86497308
69,贺州市,广西壮族自治区,0.86497308
70,驻马店市,河南省,0.86497308
71,湘潭市,湖南省,0.7688649599999999
72,抚州市,江西省,0.7688649599999999
73,龙岩市,福建省,0.7688649599999999
74,襄阳市,湖北省,0.7688649599999999
75,娄底市,湖南省,0.7688649599999999
76,钦州市,广西壮族自治区,0.7688649599999999
77,益阳市,湖南省,0.7688649599999999
78,金华市,浙江省,0.7688649599999999
79,无锡市,江苏省,0.7688649599999999
80,沈阳市,辽宁省,0.7688649599999999
81,黔东南苗族侗族自治州,贵州省,0.67275684
82,遵义市,贵州省,0.67275684
83,长春市,吉林省,0.67275684
84,常州市,江苏省,0.67275684
85,哈尔滨市,黑龙江省,0.67275684
86,河池市,广西壮族自治区,0.5766487199999999
87,宁德市,福建省,0.5766487199999999
88,咸宁市,湖北省,0.5766487199999999
89,莆田市,福建省,0.5766487199999999
90,信阳市,河南省,0.5766487199999999
91,石家庄市,河北省,0.5766487199999999
92,百色市,广西壮族自治区,0.5766487199999999
93,崇左市,广西壮族自治区,0.5766487199999999
94,南通市,江苏省,0.5766487199999999
95,防城港市,广西壮族自治区,0.5766487199999999
96,大连市,辽宁省,0.5766487199999999
97,洛阳市,河南省,0.4805406
98,周口市,河南省,0.4805406
99,台州市,浙江省,0.4805406
